title,description,lat,lon,reported_by,reported_at,city,severity
Pothole #0,Small crack,13.015368,77.621108,user0,2025-09-22T01:00:00,Bengaluru,3
Pothole #1,Causes skidding,12.885622,77.6417,user1,2025-11-12T12:41:00,Bengaluru,2
Pothole #2,Damaged patch,12.903222,77.618197,user2,2025-09-10T04:47:00,Bengaluru,5
Pothole #3,Crater-like,12.918351,77.650793,user3,2025-03-27T08:14:00,Bengaluru,1
Pothole #4,Damaged patch,13.0339,77.546257,user4,2025-01-16T22:25:00,Bengaluru,4
Pothole #5,Damaged patch,12.860387,77.598634,user5,2025-11-04T02:39:00,Bengaluru,2
Pothole #6,Small crack,12.927595,77.570808,user6,2025-11-08T08:04:00,Bengaluru,4
Pothole #7,Deep hole,12.97959,77.515603,user7,2025-08-14T07:28:00,Bengaluru,5
Pothole #8,Small crack,13.011087,77.689215,user8,2025-03-10T21:58:00,Bengaluru,5
Pothole #9,Causes skidding,12.921362,77.72463,user9,2025-02-23T14:25:00,Bengaluru,2
Pothole #10,Damaged patch,13.01462,77.748018,user10,2025-08-23T01:36:00,Bengaluru,2
Pothole #11,Deep hole,13.008518,77.520029,user11,2025-09-02T21:24:00,Bengaluru,5
Pothole #12,Causes skidding,13.0169,77.723634,user12,2025-04-13T20:57:00,Bengaluru,5
Pothole #13,Small crack,12.891226,77.673041,user13,2025-04-10T12:24:00,Bengaluru,5
Pothole #14,Causes skidding,12.91626,77.659565,user14,2025-02-15T22:34:00,Bengaluru,4
Pothole #15,Deep hole,12.955687,77.52358,user15,2025-09-18T00:06:00,Bengaluru,4
Pothole #16,Small crack,13.044374,77.560334,user16,2025-11-05T12:10:00,Bengaluru,2
Pothole #17,Damaged patch,12.966516,77.581991,user17,2025-10-16T19:55:00,Bengaluru,1
Pothole #18,Crater-like,12.884594,77.550748,user18,2025-11-15T06:32:00,Bengaluru,5
Pothole #19,Deep hole,12.934558,77.601048,user19,2025-10-02T04:58:00,Bengaluru,2
Pothole #20,Deep hole,13.002768,77.556894,user20,2025-10-03T05:55:00,Bengaluru,4
Pothole #21,Crater-like,12.949081,77.556786,user21,2025-08-07T03:40:00,Bengaluru,4
Pothole #22,Needs repair,13.049658,77.62479,user22,2025-09-16T21:04:00,Bengaluru,1
Pothole #23,Small crack,12.854644,77.626357,user23,2025-07-27T09:43:00,Bengaluru,3
Pothole #24,Causes skidding,12.957241,77.510463,user24,2025-01-04T19:11:00,Bengaluru,2
Pothole #25,Crater-like,12.856335,77.629622,user25,2025-08-24T17:50:00,Bengaluru,5
Pothole #26,Crater-like,12.881174,77.701854,user26,2025-06-20T09:02:00,Bengaluru,2
Pothole #27,Damaged patch,12.898052,77.564081,user27,2025-09-08T21:25:00,Bengaluru,1
Pothole #28,Deep hole,13.047316,77.585787,user28,2025-05-24T00:18:00,Bengaluru,1
Pothole #29,Small crack,12.901031,77.597342,user29,2025-09-20T06:20:00,Bengaluru,4
Pothole #30,Damaged patch,12.985176,77.509546,user30,2025-04-14T08:55:00,Bengaluru,2
Pothole #31,Needs repair,13.021641,77.574406,user31,2025-05-12T14:46:00,Bengaluru,1
Pothole #32,Causes skidding,12.916113,77.52638,user32,2025-08-01T22:32:00,Bengaluru,2
Pothole #33,Deep hole,12.856782,77.53332,user33,2025-05-23T17:55:00,Bengaluru,4
Pothole #34,Needs repair,13.025189,77.634197,user34,2025-01-22T03:18:00,Bengaluru,4
Pothole #35,Damaged patch,12.938249,77.646256,user35,2025-04-20T20:17:00,Bengaluru,5
Pothole #36,Deep hole,12.978389,77.638404,user36,2025-07-16T09:10:00,Bengaluru,5
Pothole #37,Needs repair,12.93643,77.693386,user37,2025-08-12T05:48:00,Bengaluru,5
Pothole #38,Crater-like,13.002682,77.613682,user38,2025-01-14T14:09:00,Bengaluru,2
Pothole #39,Causes skidding,12.860569,77.52882,user39,2025-08-20T10:14:00,Bengaluru,5
Pothole #40,Needs repair,12.938077,77.749985,user40,2025-02-25T01:12:00,Bengaluru,5
Pothole #41,Needs repair,13.015826,77.682187,user41,2025-02-13T00:54:00,Bengaluru,4
Pothole #42,Deep hole,12.922808,77.543389,user42,2025-08-08T10:18:00,Bengaluru,5
Pothole #43,Deep hole,12.855686,77.652547,user43,2025-01-01T13:02:00,Bengaluru,4
Pothole #44,Damaged patch,12.99187,77.546986,user44,2025-03-09T12:29:00,Bengaluru,3
Pothole #45,Damaged patch,12.867213,77.523325,user45,2025-06-04T23:21:00,Bengaluru,2
Pothole #46,Needs repair,12.892433,77.602906,user46,2025-05-04T03:47:00,Bengaluru,4
Pothole #47,Needs repair,12.895426,77.546842,user47,2025-07-24T19:22:00,Bengaluru,4
Pothole #48,Crater-like,12.949216,77.630105,user48,2025-05-01T13:23:00,Bengaluru,2
Pothole #49,Small crack,12.990381,77.64428,user49,2025-04-25T09:16:00,Bengaluru,1
Pothole #50,Crater-like,13.045904,77.713077,user50,2025-09-28T06:53:00,Bengaluru,2
Pothole #51,Causes skidding,12.954411,77.542423,user51,2025-11-06T04:45:00,Bengaluru,5
Pothole #52,Needs repair,12.875432,77.698079,user52,2025-03-28T15:42:00,Bengaluru,2
Pothole #53,Needs repair,13.014499,77.710273,user53,2025-01-20T06:02:00,Bengaluru,3
Pothole #54,Causes skidding,12.998062,77.632813,user54,2025-07-21T14:47:00,Bengaluru,1
Pothole #55,Needs repair,12.902702,77.559634,user55,2025-06-19T11:41:00,Bengaluru,2
Pothole #56,Crater-like,13.037138,77.678286,user56,2025-04-02T17:14:00,Bengaluru,1
Pothole #57,Deep hole,12.968573,77.585381,user57,2025-10-21T17:41:00,Bengaluru,2
Pothole #58,Causes skidding,12.927718,77.747824,user58,2025-02-12T07:20:00,Bengaluru,1
Pothole #59,Crater-like,12.96287,77.614096,user59,2025-02-12T04:12:00,Bengaluru,5
Pothole #60,Causes skidding,12.891019,77.571248,user60,2025-07-02T00:02:00,Bengaluru,5
Pothole #61,Damaged patch,12.894806,77.749586,user61,2025-06-04T03:36:00,Bengaluru,4
Pothole #62,Deep hole,12.977858,77.641538,user62,2025-10-21T00:48:00,Bengaluru,1
Pothole #63,Small crack,13.022115,77.702137,user63,2025-11-12T21:41:00,Bengaluru,2
Pothole #64,Deep hole,12.982128,77.565377,user64,2025-11-02T17:06:00,Bengaluru,3
